GEOID,NAME
26041970200,"Census Tract 9702, Delta County, Michigan"
26041970300,"Census Tract 9703, Delta County, Michigan"
26041970400,"Census Tract 9704, Delta County, Michigan"
26041970500,"Census Tract 9705, Delta County, Michigan"
26041970600,"Census Tract 9706, Delta County, Michigan"
26041970700,"Census Tract 9707, Delta County, Michigan"
26041970800,"Census Tract 9708, Delta County, Michigan"
26041970900,"Census Tract 9709, Delta County, Michigan"
26041971000,"Census Tract 9710, Delta County, Michigan"
26041971100,"Census Tract 9711, Delta County, Michigan"
26041990000,"Census Tract 9900, Delta County, Michigan"
26041990100,"Census Tract 9901, Delta County, Michigan"
26043950100,"Census Tract 9501, Dickinson County, Michigan"
26043950200,"Census Tract 9502, Dickinson County, Michigan"
26043950300,"Census Tract 9503, Dickinson County, Michigan"
26043950400,"Census Tract 9504, Dickinson County, Michigan"
26043950500,"Census Tract 9505, Dickinson County, Michigan"
26043950600,"Census Tract 9506, Dickinson County, Michigan"
26043950700,"Census Tract 9507, Dickinson County, Michigan"
26045020101,"Census Tract 201.01, Eaton County, Michigan"
26045020102,"Census Tract 201.02, Eaton County, Michigan"
26045020103,"Census Tract 201.03, Eaton County, Michigan"
26045020104,"Census Tract 201.04, Eaton County, Michigan"
26045020201,"Census Tract 202.01, Eaton County, Michigan"
26045020202,"Census Tract 202.02, Eaton County, Michigan"
26045020302,"Census Tract 203.02, Eaton County, Michigan"
26045020303,"Census Tract 203.03, Eaton County, Michigan"
26045020304,"Census Tract 203.04, Eaton County, Michigan"
26045020402,"Census Tract 204.02, Eaton County, Michigan"
26045020403,"Census Tract 204.03, Eaton County, Michigan"
26045020404,"Census Tract 204.04, Eaton County, Michigan"
26045020500,"Census Tract 205, Eaton County, Michigan"
26045020601,"Census Tract 206.01, Eaton County, Michigan"
26045020602,"Census Tract 206.02, Eaton County, Michigan"
26045020700,"Census Tract 207, Eaton County, Michigan"
26045020800,"Census Tract 208, Eaton County, Michigan"
26045020901,"Census Tract 209.01, Eaton County, Michigan"
26045020902,"Census Tract 209.02, Eaton County, Michigan"
26045021001,"Census Tract 210.01, Eaton County, Michigan"
26045021002,"Census Tract 210.02, Eaton County, Michigan"
26045021100,"Census Tract 211, Eaton County, Michigan"
26045021201,"Census Tract 212.01, Eaton County, Michigan"
26045021202,"Census Tract 212.02, Eaton County, Michigan"
26045021301,"Census Tract 213.01, Eaton County, Michigan"
26045021302,"Census Tract 213.02, Eaton County, Michigan"
26045021401,"Census Tract 214.01, Eaton County, Michigan"
26045021402,"Census Tract 214.02, Eaton County, Michigan"
26047970100,"Census Tract 9701, Emmet County, Michigan"
26047970200,"Census Tract 9702, Emmet County, Michigan"
26047970300,"Census Tract 9703, Emmet County, Michigan"
26047970400,"Census Tract 9704, Emmet County, Michigan"
26047970500,"Census Tract 9705, Emmet County, Michigan"
26047970600,"Census Tract 9706, Emmet County, Michigan"
26047970700,"Census Tract 9707, Emmet County, Michigan"
26047970800,"Census Tract 9708, Emmet County, Michigan"
26047990000,"Census Tract 9900, Emmet County, Michigan"
26049000100,"Census Tract 1, Genesee County, Michigan"
26049000200,"Census Tract 2, Genesee County, Michigan"
26049000300,"Census Tract 3, Genesee County, Michigan"
26049000400,"Census Tract 4, Genesee County, Michigan"
